tconst,primaryTitle,startYear,worldwide,domestic,log_worldwide,log_domestic,dom_r,dom_g,dom_b,avg_brightness,avg_saturation,orange_teal_score,face_count,face_density,release_month,release_window
tt7587282,Port Authority,2019,61744,,11.030768279551925,,92,58,56,132.95,94.29,0.5217,2,0.0533,5,Summer
tt4673790,Vazante,2017,25091,23884.0,10.130304349216631,10.081005925824062,232,232,232,110.87,0.0,0.0,1,0.0267,2,Other
tt5335682,Rum 213,2017,28291,,10.25033435815588,,7,10,14,60.37,111.74,0.0735,3,0.08,1,Other
tt27443929,Yung libro sa napanood ko,2023,529,,6.272877006546167,,77,133,122,122.83,112.3,0.4457,0,0.0,4,Other
tt9384038,Narusitel,2019,36954,,10.517456235218988,,41,46,46,81.9,78.75,0.4073,2,0.0533,1,Other
tt37561398,Row to Win,2025,24039,,10.087474388649143,,17,19,17,122.02,141.21,0.2599,6,0.16,9,Other
tt3485924,La California,2022,27070,,10.206218323189429,,108,79,63,96.7,114.8,0.6814,2,0.0533,11,Other
tt29515521,K - Number,2024,25773,,10.157121510848336,,230,231,233,185.57,26.25,0.1719,2,0.0559,10,Other
tt6680730,Street Lights,2018,127938,,11.759308866809755,,7,6,4,73.96,73.9,0.1632,2,0.0533,1,Other
tt6772804,Escape Plan: The Extractors,2019,1766092,,14.384280320141134,,25,14,20,86.6,88.34,0.1428,5,0.1333,6,Other
tt7105440,Princess Emmy,2019,54328,,10.902813433338997,,230,231,230,206.79,85.84,0.4142,0,0.0,1,Other
tt5821256,Manolo: The Boy Who Made Shoes for Lizards,2017,64889,60056.0,11.080448807615214,11.003049390239823,253,253,253,225.58,45.37,0.2232,0,0.0,9,Awards
tt9378672,Brian Wilson: Long Promised Road,2021,4630,,8.440528106480752,,247,246,225,210.42,76.25,0.2198,0,0.0,6,Awards
tt13375076,The Pope's Exorcist,2023,76987621,20009380.0,18.159155213649015,16.8117117715487,33,3,3,110.39,204.94,0.4217,4,0.1067,4,Spring
tt13156472,Prince of Muck,2021,19552,,9.880884006326276,,96,86,83,133.19,64.55,0.2565,1,0.0267,8,Other
tt7050476,Kikoriki: DejaVu,2018,4594378,,15.340344157739956,,23,24,36,126.67,94.96,0.3052,0,0.0,4,Other
tt7228216,Poilsiautojai: pavydo zaidynes,2017,331201,,12.710483740122353,,232,237,233,214.15,118.19,0.6377,11,0.2933,11,Other
tt22060602,Alien Weaponry: Kua Tupu Te Ara,2024,3618,,8.193953023563742,,39,30,28,115.42,80.33,0.2447,3,0.084,6,Other
tt11276530,Black School Rules,2019,1699916,,14.346089984305124,,229,220,208,191.57,111.49,0.2229,3,0.08,11,Other
tt9323034,Kayseri Aslani: Çin Isi,2017,24522,,10.10736673166888,,74,24,19,169.22,153.13,0.3631,11,0.3298,10,Other
tt7475206,All You Need Is Crime,2019,5313885,,15.485833952305503,,11,9,6,108.37,137.16,0.1815,8,0.2133,1,Other
tt13276160,Out of Sync,2021,48842,,10.796366351399625,,14,20,19,51.49,115.2,0.582,1,0.0267,9,Other
tt4255304,The Void,2016,368372,151042.0,12.816851290775173,11.925319843470213,13,21,27,87.25,92.42,0.114,0,0.0,9,Spring
tt8558504,City Dreamers,2018,7450,,8.916103530553727,,20,20,19,134.67,152.63,0.1969,4,0.1067,11,Other
tt7689956,Chef Flynn,2018,69542,68407.0,11.149700545269804,11.133245055835792,246,245,243,177.71,57.22,0.2284,3,0.08,1,Awards
tt14428606,Man in Love,2021,52946097,,17.78478493513387,,96,79,54,123.18,95.94,0.2117,2,0.0533,4,Other
tt29425792,Home Sweet Home: Rebirth,2025,245426,,12.41075482965658,,32,29,37,98.93,104.72,0.247,0,0.0,3,Other
tt2241351,Money Monster,2016,93282604,41012075.0,18.351144206848897,17.529377117886565,18,24,31,100.94,97.53,0.3775,2,0.0533,5,Summer
tt8011348,Gorilla,2019,15035,,9.618202604684068,,54,43,40,159.37,103.7,0.489,3,0.0801,7,Other
tt22781016,So Filthy and So Happy,2022,468,,6.150602768446279,,14,12,16,76.11,100.42,0.1272,4,0.112,10,Other
tt27996716,Blaga's Lessons,2023,166986,,12.02567124405749,,0,0,0,12.71,24.45,0.0227,1,0.0267,7,Other
tt9201772,Mending the Line,2022,379890,379890.0,12.84763964845024,12.84763964845024,39,47,41,111.81,69.54,0.3741,4,0.1067,9,Summer
tt5563932,Thomas & Friends: The Great Race,2016,3707565,,15.125886154588978,,214,219,216,162.28,94.7,0.2776,0,0.0,5,Other
tt6130166,Ism,2016,134165,134165.0,11.8068331182162,11.8068331182162,5,4,4,41.52,25.61,0.1123,1,0.0267,10,Awards
tt8419052,100% Coco New York,2019,790332,,13.580209654616375,,175,189,213,186.07,72.05,0.1185,4,0.1067,6,Other
tt11187484,The Thief of Baghdad,2020,542036,,13.203089543774444,,121,72,43,161.1,139.58,0.4552,7,0.1867,1,Other
tt28760144,The Duke and the Poet,2023,99769,,11.510622815907553,,36,37,42,92.84,127.98,0.1221,5,0.1333,9,Other
tt14439756,Vieirarpad,2021,7772,,8.958411469230219,,1,2,1,33.22,59.36,0.0251,0,0.0,9,Other
tt10515548,Na stojaka v kine,2018,5236,,8.563504094279487,,22,18,16,55.56,77.04,0.4199,4,0.1067,11,Other
tt14824600,The Lord of the Rings: The War of the Rohirrim,2024,20758572,9158572.0,16.848469875941788,16.03020093848821,19,11,4,68.34,159.78,0.5265,5,0.1333,12,Holiday
tt6096884,Njandukalude Naattil Oridavela,2017,701169,,13.460505647314765,,206,209,178,146.84,106.09,0.3369,1,0.0267,9,Other
tt7475284,Life Ahead,2017,1889263,,14.451697893203532,,7,5,4,69.05,90.56,0.2754,9,0.24,10,Other
tt10472102,Karakomik Filmler: Emanet,2020,1360837,,14.123611244424048,,15,38,23,95.46,173.27,0.0848,5,0.1333,1,Other
tt10465972,45 25: #KusursuzCinayet,2019,24943,,10.124388591297558,,48,23,33,111.91,98.67,0.1915,6,0.1671,9,Other
tt1714917,Gimme Danger,2016,950040,440627.0,13.764260420540186,12.995956261036133,15,21,29,76.52,125.51,0.2378,0,0.0,5,Awards
tt7529298,Attack,2022,153962,,11.944467592788511,,136,167,174,180.27,54.79,0.6731,1,0.0267,3,Other
tt21997720,Coffee with Kadhal,2022,5516,,8.61558951327243,,167,129,212,219.04,88.57,0.2361,10,0.2667,11,Other
tt30007502,Gustaakh Ishq,2025,7420,,8.912069097970134,,29,16,8,104.41,130.95,0.5402,2,0.0533,11,Other
tt26749976,Agent 044: Operation Garni,2023,15452,,9.645558438233694,,5,13,20,66.41,160.55,0.2717,2,0.0533,11,Other
tt10854954,Rhapsody of Love,2021,9414,,9.150059441091251,,88,30,29,130.04,149.1,0.434,14,0.3733,6,Other
tt2094766,Assassin's Creed,2016,240697856,54647948.0,19.299052999514664,17.816422242147887,17,13,12,102.47,79.56,0.3966,0,0.0,12,Holiday
tt5501104,Border,2018,2177678,771930.0,14.593770188693004,13.556650446774098,5,15,26,65.41,172.01,0.2724,1,0.0267,5,Awards
tt5580266,The Hate U Give,2018,34934009,29719483.0,17.368971411224514,17.20731341561735,254,253,253,166.62,65.92,0.1855,2,0.0533,9,Awards
tt4314716,Darkness Rising,2017,12198,,9.409109260148735,,251,249,245,210.06,29.39,0.0426,1,0.0267,6,Summer
tt32991372,I Am the Secret in Your Heart,2024,44508,,10.703446694896137,,227,236,186,183.54,63.59,0.0193,3,0.08,8,Other
tt5227746,The Unthinkable,2018,7364,974.0,8.90449432889673,6.882437470997847,16,13,9,75.49,130.11,0.5358,6,0.16,6,Summer
tt14739128,My Lovely Angel,2021,183933,,12.122332276592276,,207,184,145,161.41,80.13,0.4404,2,0.0533,5,Other
tt10648198,Tell Me When,2020,539584,,13.198555604560193,,29,54,59,140.21,119.68,0.7198,2,0.0533,12,Other
tt6328182,Le rire de ma mère,2017,117812,,11.676853900647291,,244,242,231,159.81,89.38,0.1745,4,0.1175,8,Other
tt6038114,Não Se Aceitam Devoluções,2018,919657,,13.731757140782667,,253,201,2,213.57,157.93,0.3078,4,0.1067,5,Other
tt13450470,Hinterland,2021,10860,,9.292933670280036,,1,4,8,35.35,179.21,0.3489,1,0.0267,8,Other
tt19595494,Next Exit,2022,4742,4742.0,8.464425125877582,8.464425125877582,238,237,242,185.75,49.31,0.1067,1,0.0267,6,Awards
tt8371772,The Eyes of Orson Welles,2018,68328,10253.0,11.132089552807496,9.235423152343646,2,0,0,67.31,114.49,0.0146,1,0.0267,6,Spring
tt29606526,The Girlfriend,2025,75692,,11.234440964872489,,77,89,91,125.43,72.08,0.2052,1,0.0469,11,Other
tt27042866,Behind the Blue Eyes,2023,70076,,11.157349916474796,,247,240,227,183.36,116.79,0.3352,2,0.0562,2,Other
tt9206798,All Is True,2018,3019143,1200481.0,14.920483905464684,13.998233700778435,243,234,221,204.14,51.98,0.2128,3,0.08,12,Summer
tt11595776,Undone,2020,26646,,10.190431852901,,103,129,140,142.31,77.08,0.4869,1,0.03,3,Other
tt29632851,Bursting Point,2023,646704,,13.379645518965024,,31,33,25,75.56,125.35,0.2304,2,0.0533,12,Other
tt1703957,Genius,2016,7435006,1361045.0,15.821710079368888,14.123764079739884,228,227,228,179.21,36.45,0.3251,4,0.1067,2,Summer
tt14071698,Sunshine of My Life,2021,394711,,12.88591166402638,,227,227,223,209.08,20.03,0.0999,3,0.0857,4,Other
tt2674454,Churchill,2017,6724365,1281258.0,15.721248203915064,14.063353746234428,9,7,5,111.76,166.94,0.1447,1,0.0267,4,Summer
tt9477520,Asuran,2019,379728,,12.847213119389773,,134,49,21,94.61,194.75,0.6945,1,0.0267,10,Other
tt30244989,Cuerpo escombro,2024,1708543,,14.351152103790882,,237,157,29,173.23,164.48,0.3203,4,0.1067,8,Other
tt13893190,The Bunker Game,2022,429080,,12.969400991276377,,35,2,3,93.75,227.02,0.1528,0,0.0,2,Other
tt11286070,Catweazle,2021,3485442,,15.06410571031052,,5,10,11,64.82,138.16,0.2419,2,0.0533,7,Other
tt6685776,Isoken,2017,15851,,9.671050954310326,,196,121,61,205.69,143.89,0.3219,1,0.0273,5,Other
tt27156915,Saint-Exupéry,2024,1927893,,14.471938773388102,,223,212,198,144.52,67.46,0.4325,1,0.0267,9,Other
